Sport,Franchise ID,City of Team,Team Name,Season Win Loss Record,Season Win Percentage,Season Payroll,Season,Season Start Month & Year,Season End Month & Year,"Playoff Round elminated (0 = missed playoffs, 5 = Won Championship)",,,,,,,,,,,,,,,,,,,
Hockey,1,San Jose,Sharks,20-50-12,0.317,65516547,2024-2025,2024-10-01,2025-06-01,0,,,,,,,,,,,,,,,,,,,
Hockey,2,Calgary,Flames,41-27-14,0.585,70630364,2024-2025,2024-10-01,2025-06-01,0,,,,,,,,,,,,,,,,,,,
Hockey,3,Columbus,Blue Jackets,40-33-9,0.543,73079991,2024-2025,2024-10-01,2025-06-01,0,,,,,,,,,,,,,,,,,,,
Hockey,4,Utah,Hockey Club,38-31-13,0.537,75623374,2024-2025,2024-10-01,2025-06-01,0,,,,,,,,,,,,,,,,,,,
Hockey,5,Nashville,Predators,30-44-8,0.415,76862659,2024-2025,2024-10-01,2025-06-01,0,,,,,,,,,,,,,,,,,,,
Hockey,6,Seattle,Kraken,35-41-6,0.463,78594281,2024-2025,2024-10-01,2025-06-01,0,,,,,,,,,,,,,,,,,,,
Hockey,7,Buffalo,Sabres,36-39-7,0.482,79588192,2024-2025,2024-10-01,2025-06-01,0,,,,,,,,,,,,,,,,,,,
Hockey,8,Philadelphia,Flyers,33-39-10,0.463,81828955,2024-2025,2024-10-01,2025-06-01,0,,,,,,,,,,,,,,,,,,,
Hockey,9,Vancouver,Canucks,38-30-14,0.549,82435259,2024-2025,2024-10-01,2025-06-01,0,,,,,,,,,,,,,,,,,,,
Hockey,10,Anaheim,Ducks,35-37-10,0.488,82446873,2024-2025,2024-10-01,2025-06-01,0,,,,,,,,,,,,,,,,,,,
Hockey,11,Boston,Bruins,33-39-10,0.463,84787437,2024-2025,2024-10-01,2025-06-01,0,,,,,,,,,,,,,,,,,,,
Hockey,12,Chicago,Blackhawks,25-46-11,0.372,85714173,2024-2025,2024-10-01,2025-06-01,0,,,,,,,,,,,,,,,,,,,
Hockey,13,New York,Rangers,39-36-7,0.518,85722876,2024-2025,2024-10-01,2025-06-01,0,,,,,,,,,,,,,,,,,,,
Hockey,14,Pittsburgh,Penguins,34-36-12,0.488,86783883,2024-2025,2024-10-01,2025-06-01,0,,,,,,,,,,,,,,,,,,,
Hockey,15,Detroit,Red Wings,39-35-8,0.524,86940171,2024-2025,2024-10-01,2025-06-01,0,,,,,,,,,,,,,,,,,,,
Hockey,16,St. Louis,Blues,44-30-8,0.585,87765050,2024-2025,2024-10-01,2025-06-01,1,,,,,,,,,,,,,,,,,,,
Hockey,17,Washington,Capitals,51-22-9,0.677,100508899,2024-2025,2024-10-01,2025-06-01,2,,,,,,,,,,,,,,,,,,,
Hockey,18,Florida,Panthers,47-31-4,0.598,100894705,2024-2025,2024-10-01,2025-06-01,5,,,,,,,,,,,,,,,,,,,
